project_id,state,district,project_type,current_stage,current_stage_index,project_age_days,total_parcels,completed_parcels,total_area,documentation_completeness,legal_dispute,ownership_conflict,compensation_pending_days,pending_approvals,inter_dept_dependency,rr_delay_days,previous_stage_delay_days,number_of_delayed_stages,target_delayed,target_delay_days
LA-1000,Karnataka,Bengaluru,Highway Construction,Project Initiation,0,789,124,100,126.59,80.0,0,0,13,1,0,1,0,0,0,0
LA-1001,Karnataka,Dharwad,Mining Development,Objection and Legal Review,5,459,54,24,90.07,84.0,0,1,50,3,0,22,12,2,1,59
LA-1002,Karnataka,Mangaluru,Mining Development,Land Identification,1,157,343,217,20.41,99.3,0,0,18,0,0,0,0,0,0,0
LA-1003,Rajasthan,Jaipur,Defense Installation,Final Acquisition,9,314,355,131,14.46,49.3,1,1,106,1,0,0,99,4,1,108
LA-1004,Rajasthan,Ajmer,Urban Infrastructure,Survey and Verification,3,247,464,222,146.09,95.0,0,0,8,3,0,4,0,0,0,0
LA-1005,Rajasthan,Ajmer,Pipeline Project,Land Identification,1,123,133,115,242.78,100.0,0,0,21,6,1,13,0,0,0,0
LA-1006,Karnataka,Bengaluru,Mining Development,Ownership Verification,4,798,157,124,50.13,79.9,0,1,29,3,1,30,24,1,1,50
LA-1007,Odisha,Berhampur,Highway Construction,Project Initiation,0,643,48,25,244.51,59.7,1,1,110,0,0,0,0,0,1,164
LA-1008,Madhya Pradesh,Indore,Power Transmission,Survey and Verification,3,570,465,402,129.64,100.0,0,0,23,4,1,22,0,0,0,0
LA-1009,Uttar Pradesh,Lucknow,Mining Development,Land Identification,1,265,281,281,33.51,90.8,1,0,26,1,0,58,8,0,1,58
LA-1010,Rajasthan,Kota,Defense Installation,Project Initiation,0,224,377,318,85.16,100.0,0,0,20,3,0,20,0,0,0,0
LA-1011,Rajasthan,Ajmer,Pipeline Project,Land Identification,1,173,479,458,188.51,71.6,0,0,14,1,1,0,21,0,0,0
LA-1012,Gujarat,Surat,Defense Installation,Compensation Assessment,6,90,301,177,78.74,100.0,1,1,125,0,0,0,8,3,1,50
LA-1013,Madhya Pradesh,Indore,Highway Construction,Survey and Verification,3,550,219,122,164.51,87.9,1,1,82,0,0,0,10,0,1,78
LA-1014,Karnataka,Dharwad,Urban Infrastructure,Compensation Disbursement,7,274,42,10,33.55,81.1,0,0,0,0,0,0,12,0,0,0
LA-1015,Uttar Pradesh,Lucknow,Industrial Corridor,Project Initiation,0,408,482,440,166.02,77.8,0,0,16,2,0,0,0,0,0,0
LA-1016,Maharashtra,Nashik,Mining Development,Ownership Verification,4,189,329,126,1.38,78.4,0,1,51,0,0,16,65,1,1,101
LA-1017,Rajasthan,Bikaner,Pipeline Project,Preliminary Notification,2,594,70,46,10.94,100.0,0,0,22,3,1,0,11,0,0,0
LA-1018,Odisha,Bhubaneswar,Urban Infrastructure,Preliminary Notification,2,245,414,207,202.79,100.0,0,0,27,1,0,13,7,0,0,0
LA-1019,Karnataka,Hubli,Defense Installation,Project Initiation,0,851,107,78,76.65,79.3,0,0,22,4,1,3,0,0,0,0
LA-1020,Odisha,Cuttack,Industrial Corridor,Land Identification,1,54,302,250,27.55,72.3,1,1,144,1,0,21,0,0,1,117
LA-1021,Madhya Pradesh,Ujjain,Railway Expansion,R&R and Rehabilitation,8,424,225,25,17.96,66.5,0,0,16,3,1,29,0,0,0,0
LA-1022,Uttar Pradesh,Allahabad,Railway Expansion,Preliminary Notification,2,767,351,351,187.16,68.2,0,0,22,3,0,9,6,0,0,0
LA-1023,Gujarat,Gandhinagar,Highway Construction,Compensation Disbursement,7,341,342,95,21.66,100.0,0,0,14,1,0,0,0,0,0,0
LA-1024,Uttar Pradesh,Lucknow,Industrial Corridor,Land Identification,1,718,361,294,96.3,79.5,0,0,15,4,1,19,0,0,0,0
LA-1025,Karnataka,Bengaluru,Railway Expansion,Land Identification,1,827,491,366,188.93,88.0,0,0,1,2,0,17,0,0,0,0
LA-1026,Madhya Pradesh,Jabalpur,Mining Development,Ownership Verification,4,486,145,34,110.25,93.7,0,0,7,1,0,26,2,0,0,0
LA-1027,Uttar Pradesh,Kanpur,Mining Development,Objection and Legal Review,5,112,443,151,220.22,69.2,1,1,115,0,0,0,8,2,1,100
LA-1028,Odisha,Sambalpur,Defense Installation,Objection and Legal Review,5,581,89,85,245.19,81.6,0,0,0,6,1,12,0,0,0,0
